,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Mehamn,100,NO,1578360733,88,71.03,27.85,24.19,16.15
1,Mataura,71,NZ,1578360677,72,-46.19,168.86,57.0,10.0
2,Kodiak,1,US,1578360735,79,39.95,-94.76,37.0,10.45
3,Warrnambool,0,AU,1578360643,84,-38.38,142.48,64.99,15.52
4,Bredasdorp,100,ZA,1578360738,77,-34.53,20.04,64.99,2.24
5,Vostok,84,RU,1578360739,76,46.45,135.83,20.97,0.54
6,Severo-Kurilsk,100,RU,1578360740,73,50.68,156.12,24.93,16.75
7,Bluff,100,AU,1578360741,40,-23.58,149.07,89.13,10.58
8,Saint-Pierre,90,FR,1578360742,100,48.95,4.24,43.0,12.75
9,Mar del Plata,69,AR,1578360743,61,-46.43,-67.52,62.08,3.2
10,Hasaki,75,JP,1578360744,70,35.73,140.83,46.0,6.93
11,Darovskoy,98,RU,1578360746,97,58.77,47.96,8.02,4.94
12,Carnarvon,100,ZA,1578360747,65,-30.97,22.13,66.13,14.7
13,Cherskiy,0,RU,1578360748,73,68.75,161.3,-17.46,5.53
14,Albany,75,US,1578360484,64,42.65,-73.75,34.0,4.7
15,Ribeira Grande,100,PT,1578360750,94,38.52,-28.7,61.27,16.58
16,Saint-Philippe,75,CA,1578360751,85,45.36,-73.48,19.0,3.27
17,Ushuaia,75,AR,1578360603,70,-54.81,-68.31,48.2,3.36
18,Lebedinyy,100,RU,1578360753,92,58.52,125.52,10.9,14.05
19,Petropavlovsk-Kamchatskiy,100,RU,1578360755,46,53.05,158.65,28.4,17.9
20,Guozhen,84,CN,1578360756,79,29.3,113.14,43.72,8.84
21,Hobart,75,AU,1578360703,63,-42.88,147.33,71.01,16.11
22,Punta Arenas,90,CL,1578360758,81,-53.16,-70.91,53.6,6.93
23,Barrow,0,AR,1578360759,72,-38.31,-60.23,55.94,5.79
24,Dauphin,1,CA,1578360760,62,51.15,-100.04,23.0,26.4
25,Vaini,75,IN,1578360761,94,15.34,74.49,68.0,9.17
26,Agira,0,IT,1578360762,74,37.66,14.52,48.0,5.82
27,Atuona,32,PF,1578360764,68,-9.8,-139.03,81.05,10.56
28,Torbay,90,CA,1578360765,79,47.66,-52.73,26.01,6.93
29,Vestmannaeyjar,100,IS,1578360766,92,63.44,-20.27,36.57,40.89
30,Tuktoyaktuk,90,CA,1578360767,74,69.44,-133.03,-23.8,9.17
31,Busselton,0,AU,1578360768,18,-33.64,115.35,87.01,9.46
32,Sretensk,2,RU,1578360769,89,52.24,117.7,1.42,0.85
33,Abu Kamal,0,SY,1578360770,71,34.45,40.92,49.1,11.56
34,Saskylakh,65,RU,1578360772,94,71.97,114.09,-1.55,8.72
35,Hofn,100,IS,1578360773,67,64.25,-15.21,41.13,16.06
36,Vila Velha,40,BR,1578360774,78,-3.71,-38.6,86.0,5.82
37,Nome,90,US,1578360775,82,30.04,-94.42,66.99,3.36
38,Yellowknife,40,CA,1578360776,74,62.45,-114.38,-23.01,6.93
39,Marstal,100,DK,1578360777,86,54.86,10.52,39.0,11.41
40,Hilo,20,US,1578360778,54,19.71,-155.08,82.4,8.05
41,Chuy,41,UY,1578360780,77,-33.69,-53.46,66.38,3.49
42,Okhotsk,0,RU,1578360781,78,59.36,143.24,-4.52,12.53
43,Rikitea,40,PF,1578360782,77,-23.12,-134.97,76.77,12.59
44,Qaanaaq,32,GL,1578360783,84,77.48,-69.36,-18.02,11.54
45,Arraial do Cabo,75,BR,1578360784,94,-22.97,-42.02,77.0,3.36
46,East London,98,ZA,1578360785,77,-33.02,27.91,72.34,6.62
47,Puerto El Triunfo,20,SV,1578360787,69,13.27,-88.55,80.6,5.82
48,Hermanus,99,ZA,1578360788,79,-34.42,19.24,64.99,5.99
49,Mahebourg,40,MU,1578360789,94,-20.41,57.7,77.0,1.79
50,Salalah,1,OM,1578360790,78,17.01,54.1,75.2,5.82
51,Usinsk,100,RU,1578360791,94,66.0,57.56,7.43,14.63
52,Fortuna,1,US,1578360792,76,40.6,-124.16,51.8,5.82
53,Santa Vitoria do Palmar,41,BR,1578360793,77,-33.52,-53.37,66.38,3.49
54,Faya,0,SA,1578360795,82,18.39,42.45,55.4,8.05
55,Khatanga,90,RU,1578360796,90,71.98,102.47,2.66,12.57
56,Yazman,0,SY,1578360797,90,36.74,38.46,42.94,17.07
57,Olinda,90,AU,1578360798,77,-37.84,145.39,69.01,11.41
58,Hithadhoo,100,MV,1578360632,77,-0.6,73.08,83.71,13.91
59,Sabang,73,PH,1578360800,76,13.8,121.11,81.0,5.99
60,Kruisfontein,100,ZA,1578360801,91,-34.0,24.73,64.04,5.75
61,Bambous Virieux,40,MU,1578360803,94,-20.34,57.76,77.0,2.42
62,Fukue,90,JP,1578360804,65,35.03,136.69,48.99,8.05
63,Peravurani,59,IN,1578360805,74,10.15,79.08,79.27,13.0
64,Livingstone,100,ZW,1578360806,89,-17.85,25.86,70.65,2.21
65,Busayra,0,JO,1578360807,69,30.74,35.61,41.65,3.8
66,Flin Flon,90,CA,1578360617,71,54.77,-101.88,3.2,18.34
67,Nanortalik,23,GL,1578360809,68,60.14,-45.24,15.93,46.64
68,Baie-Comeau,90,CA,1578360604,72,49.22,-68.15,17.6,15.43
69,Malindi,44,KE,1578360812,95,-3.22,40.12,76.51,2.64
70,Kharan,60,PK,1578360623,81,28.58,65.42,52.2,9.62
71,Kanye,93,BW,1578360814,73,-24.98,25.34,69.71,3.98
72,Tuatapere,98,NZ,1578360815,72,-46.13,167.69,57.0,10.0
73,Pacific Grove,1,US,1578360690,67,36.62,-121.92,59.0,15.46
74,Ancud,75,CL,1578360817,100,-41.87,-73.83,53.6,6.93
75,Norman Wells,20,CA,1578360818,65,65.28,-126.83,-38.2,2.24
76,Broken Hill,0,AU,1578360819,35,-31.97,141.45,84.2,16.11
77,Guerrero Negro,0,MX,1578360820,41,27.97,-114.04,63.93,1.45
78,Anda,100,CN,1578360822,92,46.41,125.33,18.59,4.59
79,Yatou,20,CM,1578360823,94,3.63,9.81,78.8,3.36
80,Saint George,20,GR,1578360602,55,39.45,22.34,33.8,8.05
81,Zhuanghe,100,CN,1578360825,73,39.7,122.97,33.01,5.99
82,Yima,100,CN,1578360826,90,34.75,111.87,37.69,10.13
83,San Cristobal,100,HN,1578360827,96,14.68,-86.92,60.93,3.38
84,Butaritari,100,KI,1578360683,76,3.07,172.79,84.97,16.55
85,Benguela,72,AO,1578360830,86,-12.58,13.4,76.96,4.61
86,Port Alfred,68,ZA,1578360831,97,-33.59,26.89,69.01,6.29
87,Hamilton,20,CA,1578360803,74,43.26,-79.87,36.0,11.41
88,Susaki,75,JP,1578360833,87,33.42,133.28,51.01,8.05
89,Sitka,0,US,1578360834,42,37.17,-99.65,37.99,5.99
90,Bethel,1,US,1578360835,75,60.79,-161.76,-14.8,10.29
91,Chokurdakh,0,RU,1578360836,96,70.62,147.9,-22.7,2.95
92,Qiqihar,97,CN,1578360837,91,47.35,123.91,10.04,14.23
93,Muhos,90,FI,1578360839,100,64.81,26.0,34.0,5.82
94,Nizwa,0,OM,1578360840,82,22.93,57.53,58.08,2.53
95,Port Elizabeth,1,US,1578360841,51,39.31,-74.98,45.0,7.63
96,Kununurra,40,AU,1578360842,78,-15.77,128.74,80.6,6.93
97,Alofi,75,NU,1578360843,74,-19.06,-169.92,84.2,3.36
98,Chernyshevskiy,100,RU,1578360844,93,63.01,112.47,12.47,9.57
99,Conceicao da Barra,95,BR,1578360843,84,-18.59,-39.73,79.3,20.76
100,Manoel Urbano,100,BR,1578360847,82,-8.84,-69.26,76.15,2.53
101,Batemans Bay,63,AU,1578360848,80,-35.71,150.18,87.01,5.99
102,Payette,1,US,1578360849,81,44.08,-116.93,37.99,11.56
103,De Aar,100,ZA,1578360850,45,-30.65,24.01,73.87,11.99
104,Margate,75,AU,1578360845,63,-43.03,147.26,75.99,16.11
105,Moranbah,21,AU,1578360852,31,-22.0,148.04,94.44,14.88
106,Ghanzi,100,BW,1578360854,79,-21.7,21.65,70.27,6.82
107,Victor Harbor,0,AU,1578360683,53,-35.55,138.62,81.0,11.41
108,Okha,11,RU,1578360856,89,53.59,142.95,10.83,9.75
109,Hailar,84,CN,1578360857,97,49.2,119.7,0.43,1.74
110,Great Falls,75,US,1578360858,55,47.5,-111.29,39.0,16.11
111,Los Llanos de Aridane,75,ES,1578360855,63,28.66,-17.92,62.6,13.87
112,Mwinilunga,100,ZM,1578360861,98,-11.73,24.43,62.49,6.55
113,Te Anau,80,NZ,1578360862,84,-45.41,167.72,48.61,5.08
114,Dzhebariki-Khaya,100,RU,1578360863,95,62.22,135.8,1.08,3.0
115,Hambantota,20,LK,1578360864,100,6.12,81.12,73.4,4.7
116,Nassjo,75,SE,1578360866,93,57.65,14.7,39.99,13.87
117,Coxim,100,BR,1578360867,89,-18.5,-54.75,75.85,5.26
118,Aswan,0,EG,1578360868,45,24.09,32.9,46.4,9.17
119,Ossora,99,RU,1578360869,95,59.24,163.07,11.73,5.73
120,Swellendam,100,ZA,1578360870,77,-34.02,20.44,60.8,2.24
121,New Norfolk,75,AU,1578360871,63,-42.78,147.06,75.99,16.11
122,Port Hardy,90,CA,1578360622,86,50.7,-127.42,41.0,8.05
123,Payakumbuh,90,ID,1578360874,69,-0.23,100.63,77.5,4.38
124,Viedma,0,AR,1578360875,53,-40.81,-62.99,55.65,2.95
125,Lorengau,16,PG,1578360849,73,-2.02,147.27,85.12,9.22
126,Dikson,100,RU,1578360877,96,73.51,80.55,8.2,6.82
127,Lebu,40,ET,1578360878,87,8.96,38.73,51.8,3.36
128,Leesburg,1,US,1578360752,44,39.12,-77.56,43.0,6.93
129,Bonney Lake,90,US,1578360880,93,47.19,-122.17,52.0,13.87
130,Bereda,100,ES,1578360882,100,43.27,-7.54,46.0,4.7
131,Tasiilaq,100,GL,1578360883,88,65.61,-37.64,21.6,19.39
132,Cascais,0,PT,1578360884,81,38.7,-9.42,48.0,5.82
133,Dali,100,CN,1578360885,65,34.79,109.94,39.88,13.56
134,Thompson,90,CA,1578360679,77,55.74,-97.86,-2.2,8.05
135,Nortelandia,16,BR,1578360887,93,-14.45,-56.8,72.25,6.08
136,Imbituba,0,BR,1578360888,88,-28.24,-48.67,78.8,11.41
137,Doba,15,ET,1578360890,83,9.29,41.09,68.05,8.84
138,Sao Joao da Barra,100,BR,1578360815,90,-21.64,-41.05,77.63,11.14
139,Rocha,34,UY,1578360892,68,-34.48,-54.34,64.09,7.56
140,Sawtell,17,AU,1578360893,65,-30.38,153.1,87.8,17.22
141,Guadalajara,33,ES,1578360894,92,40.63,-3.16,44.01,5.82
142,Cap-aux-Meules,75,CA,1578360895,67,47.38,-61.86,23.0,6.93
143,Pevek,0,RU,1578360896,68,69.7,170.27,-9.62,5.37
144,Shakawe,79,BW,1578360897,93,-18.36,21.84,67.55,6.35
145,Cape Town,100,ZA,1578360832,68,-33.93,18.42,68.0,9.17
146,Banda Aceh,7,ID,1578360900,56,5.56,95.32,82.96,7.25
147,Leningradskiy,0,RU,1578360901,79,69.38,178.42,-9.85,11.83
148,Cruzeiro do Oeste,33,BR,1578360902,78,-23.78,-53.07,72.16,5.59
149,Isangel,75,VU,1578360843,70,-19.55,169.27,84.2,9.17
150,Tiznit,0,MA,1578360904,33,29.7,-9.73,48.79,4.03
151,Avarua,49,CK,1578360905,83,-21.21,-159.78,82.4,5.82
152,Chipoka,100,MW,1578360906,84,-13.99,34.52,73.54,1.9
153,Kedougou,36,SN,1578360908,35,12.56,-12.19,69.8,2.24
154,Pobe,14,BJ,1578360909,62,6.98,2.66,71.49,2.33
155,Praia,0,BR,1578360910,78,-20.25,-43.81,77.0,1.12
156,Sidi Ali,0,DZ,1578360911,88,36.1,0.42,43.83,0.94
157,Golden,1,US,1578360736,23,39.76,-105.22,41.0,14.99
158,Jamestown,0,AU,1578360914,34,-33.21,138.6,83.44,2.33
159,Atbasar,100,KZ,1578360915,93,51.81,68.36,13.91,2.95
160,Cabo San Lucas,5,MX,1578360704,53,22.89,-109.91,75.2,11.41
161,Tamasopo,100,MX,1578360917,94,21.92,-99.39,52.23,1.23
162,Cayenne,73,GF,1578360918,94,4.94,-52.33,73.4,2.24
163,Berlevag,100,NO,1578360853,76,70.86,29.09,31.05,14.72
164,Togur,100,RU,1578360920,95,58.36,82.83,12.11,6.17
165,Apartado,17,CO,1578360922,99,7.88,-76.63,71.49,1.68
166,Acapulco,5,MX,1578360912,74,16.86,-99.88,80.6,4.7
167,Ca Mau,4,VN,1578360674,51,9.18,105.15,88.72,12.88
168,Bocana de Paiwas,44,NI,1578360925,96,12.79,-85.12,69.58,5.88
169,Chino Valley,1,US,1578360926,24,34.76,-112.45,54.0,3.36
170,Karoi,99,ZW,1578360927,89,-16.82,29.68,67.46,6.69
171,Kapaa,75,US,1578360928,78,22.08,-159.32,80.6,19.46
172,Puerto Ayora,75,EC,1578360929,65,-0.74,-90.35,82.4,12.75
173,West Bay,90,CA,1578360931,100,49.34,-123.21,42.01,5.82
174,Jasper,75,US,1578360771,93,33.83,-87.28,57.2,7.43
175,Oktyabrskoye,75,RU,1578360933,92,56.73,85.44,19.0,8.95
176,Nelson Bay,77,AU,1578360934,74,-32.72,152.14,84.0,6.93
177,Provideniya,95,RU,1578360935,91,64.42,-173.23,-10.07,2.04
178,Nikolskoye,90,RU,1578360832,96,59.7,30.79,34.0,6.71
179,Coquimbo,0,CL,1578360937,68,-29.95,-71.34,66.2,5.82
180,Mana,39,NG,1578360939,28,13.03,5.27,65.91,9.98
181,Tiksi,100,RU,1578360940,87,71.64,128.87,-3.15,16.49
182,Owando,63,CG,1578360869,53,-0.49,15.91,72.19,2.86
183,Dingle,41,PH,1578360942,80,11.0,122.67,80.91,10.11
184,Victoria,75,BN,1578360943,74,5.28,115.24,84.2,3.36
185,Meylan,84,FR,1578360944,86,45.21,5.78,39.99,11.41
186,Mahad,0,IN,1578360945,59,18.08,73.42,74.86,2.64
187,Benoy,90,RU,1578360947,100,43.06,46.02,33.8,2.24
188,Waingapu,100,ID,1578360948,76,-9.65,120.26,84.15,23.58
189,Ponnani,40,IN,1578360655,78,10.77,75.93,75.2,4.7
190,Sarakhs,0,TM,1578360950,84,36.54,61.16,32.0,2.24
191,Jawad,21,IN,1578360951,49,24.6,74.86,58.01,6.04
192,Aginskoye,0,RU,1578360952,88,51.11,114.54,4.86,4.65
193,Namatanai,100,PG,1578360684,68,-3.66,152.44,86.29,4.81
194,Mosquera,75,CO,1578360955,87,4.71,-74.23,55.4,5.82
195,Polunochnoye,1,RU,1578360956,89,60.87,60.43,3.78,3.89
196,Airai,59,TL,1578360957,46,-8.93,125.41,84.33,4.65
197,Kuandian,100,CN,1578360958,80,40.73,124.78,32.4,9.95
198,Sisimiut,0,GL,1578360959,74,66.94,-53.67,-19.97,12.84
199,Ahuimanu,75,US,1578360960,65,21.44,-157.84,82.4,11.41
200,Alice Springs,100,AU,1578360961,35,-23.7,133.88,84.2,10.29
201,Meulaboh,13,ID,1578360962,77,4.14,96.13,80.33,7.07
202,Nandu,90,CN,1578360964,100,31.44,119.33,48.99,4.47
203,Monrovia,20,LR,1578360865,94,6.33,-10.8,71.6,3.36
204,Ostrovnoy,32,RU,1578360966,96,68.05,39.51,9.27,6.15
205,Abu Samrah,0,SY,1578360967,68,35.3,37.18,44.19,3.4
206,Faanui,75,PF,1578360968,79,-16.48,-151.75,82.11,15.37
207,Atasu,100,KZ,1578360969,95,48.68,71.64,18.39,6.87
208,Longyearbyen,20,NO,1578360970,51,78.22,15.63,12.2,14.99
209,Hami,0,CN,1578360971,47,42.84,93.51,20.55,0.89
210,Makakilo City,90,US,1578360973,65,21.35,-158.09,82.4,12.75
211,Portland,90,US,1578360974,68,43.66,-70.25,26.01,4.7
212,Katherine,83,AU,1578360975,62,-14.47,132.26,86.0,4.7
213,Ingham,100,AU,1578360976,63,-18.65,146.16,85.57,5.32
214,Kungurtug,0,RU,1578360977,73,50.6,97.53,0.61,2.06
215,Katsuura,75,JP,1578360978,81,33.93,134.5,46.4,3.36
216,Camacha,20,PT,1578360979,72,33.08,-16.33,62.6,9.17
217,Cavalcante,89,BR,1578360981,97,-13.79,-47.46,64.2,4.88
218,Mbini,18,GQ,1578360982,81,1.58,9.62,80.65,4.63
219,Tosagua,1,EC,1578360983,88,-0.79,-80.23,77.0,11.41
220,Marsa Matruh,24,EG,1578360984,75,31.35,27.25,46.4,14.99
221,Buenavista,40,CO,1578360985,73,4.36,-75.74,73.4,0.89
222,Geraldton,5,CA,1578360986,84,49.72,-86.95,5.0,4.7
223,Yar-Sale,100,RU,1578360987,84,66.83,70.83,7.88,15.28
224,Kawalu,99,ID,1578360988,69,-7.38,108.21,81.18,3.24
225,Jalu,5,LY,1578360990,72,29.03,21.55,46.29,11.77
226,Londa,75,IN,1578360991,94,15.45,74.49,68.0,9.17
227,Paramonga,22,PE,1578360992,91,-10.68,-77.82,68.72,11.79
228,Tautira,20,PF,1578360993,66,-17.73,-149.15,87.8,6.93
229,Kirando,100,TZ,1578360994,73,-7.37,30.62,75.11,6.55
230,Seoul,90,KR,1578360918,93,37.57,126.98,44.6,3.36
231,Sangar,100,RU,1578360996,94,63.92,127.47,0.37,11.34
232,Xining,21,CN,1578360998,61,36.62,101.77,22.32,5.17
233,Castro,75,CL,1578360999,100,-42.48,-73.76,53.6,6.93
234,Comodoro Rivadavia,20,AR,1578361000,35,-45.87,-67.48,71.6,23.04
235,Cidreira,67,BR,1578361001,85,-30.17,-50.22,74.59,6.46
236,Namibe,23,AO,1578361002,83,-15.19,12.15,71.55,6.11
237,Haines Junction,100,CA,1578361003,98,60.75,-137.51,-0.31,2.84
238,Eyl,95,SO,1578361004,82,7.98,49.82,79.07,17.4
239,Sibu,75,MY,1578361005,88,2.29,111.83,77.0,4.7
240,Pangnirtung,100,CA,1578361007,87,66.15,-65.72,-35.5,5.03
241,Norman,1,US,1578360908,45,35.22,-97.44,46.4,11.41
242,Georgetown,41,GY,1578361009,83,6.8,-58.16,78.8,4.7
243,Kavieng,82,PG,1578360845,69,-2.57,150.8,85.03,5.08
244,Itarantim,100,BR,1578361011,97,-15.65,-40.06,70.14,2.44
245,Maniitsoq,100,GL,1578361012,99,65.42,-52.9,-0.83,15.17
246,Tevaitoa,41,PF,1578361013,80,-16.78,-151.5,81.7,17.52
247,Yenagoa,86,NG,1578361014,71,4.92,6.26,75.06,1.34
248,Hirara,20,JP,1578361016,69,24.8,125.28,75.2,13.87
249,Naraina,40,IN,1578361017,76,26.78,75.2,57.2,9.17
250,Sabi,79,SN,1578361018,17,13.24,-14.19,62.29,5.1
251,Springbok,79,ZA,1578361019,62,-29.67,17.88,60.26,3.76
252,Hualmay,43,PE,1578361020,86,-11.1,-77.61,67.24,3.18
253,Port Lincoln,0,AU,1578361021,52,-34.72,135.86,72.48,8.75
254,Farafangana,77,MG,1578361022,75,-22.82,47.83,79.9,3.58
255,Minot,1,US,1578361024,68,48.23,-101.3,26.6,16.11
256,Nemuro,40,JP,1578361025,72,43.32,145.57,32.0,4.7
257,Chulman,100,RU,1578361026,88,56.84,124.9,0.37,2.13
258,Tshikapa,100,CD,1578361027,97,-6.42,20.79,69.64,2.28
259,Hobyo,100,SO,1578360865,77,5.35,48.53,79.18,16.42
260,Yulara,40,AU,1578361030,48,-25.24,130.99,82.4,14.99
261,Sibenik,0,HR,1578361031,69,45.81,17.18,27.72,4.68
262,Ballyshannon,100,IE,1578361032,88,54.5,-8.19,46.99,18.01
263,Constitucion,90,MX,1578361033,14,23.99,-104.67,62.6,5.82
264,Clyde River,90,CA,1578360851,75,70.47,-68.59,-16.6,21.92
265,Cabatuan,1,PH,1578361035,70,16.95,121.67,79.0,4.68
266,Pierre,20,US,1578360903,74,44.37,-100.35,33.8,13.87
267,Huarmey,15,PE,1578361038,82,-10.07,-78.15,68.13,1.83
268,Port-Gentil,43,GA,1578361039,79,-0.72,8.78,82.18,10.78
269,Lishui,35,CN,1578361040,73,28.45,119.91,67.69,3.87
270,Baruun-Urt,0,MN,1578360870,83,46.68,113.28,4.6,5.95
271,Tamandare,39,BR,1578361042,69,-8.28,-70.75,76.41,2.91
272,Kokopo,44,PG,1578361043,68,-4.34,152.27,84.65,2.44
273,Kirakira,32,SB,1578361044,70,-10.46,161.92,85.41,9.98
274,Klaksvik,75,FO,1578361045,70,62.23,-6.59,42.8,21.92
275,Houma,100,CN,1578361047,99,35.63,111.36,32.47,3.27
276,Conceicao do Araguaia,99,BR,1578361048,98,-8.26,-49.26,69.48,1.45
277,Mozarlandia,100,BR,1578360934,96,-14.74,-50.57,71.47,5.5
278,Abu Dhabi,20,AE,1578361050,59,24.47,54.37,66.2,5.82
279,Beyneu,0,KZ,1578361051,77,45.32,55.19,25.41,3.67
280,Novyy Urengoy,0,RU,1578361052,91,66.08,76.63,0.45,13.69
281,Westport,1,US,1578360862,69,41.14,-73.36,44.01,16.31
282,Souillac,90,FR,1578361055,93,45.6,-0.6,43.0,5.82
283,Road Town,20,VG,1578361056,69,18.42,-64.62,78.8,8.05
284,Saint-Joseph,40,FR,1578361057,93,43.56,6.97,48.2,3.36
285,Taquari,19,BR,1578361058,95,-29.79,-51.87,72.0,0.63
286,Husavik,26,CA,1578360861,83,50.56,-96.99,21.99,3.0
287,Najran,0,SA,1578361060,76,17.54,44.22,55.4,1.88
288,Along,97,IN,1578361061,62,28.17,94.8,53.49,3.24
289,Riyadh,20,SA,1578360796,87,24.63,46.72,44.6,5.01
290,Havoysund,100,NO,1578361064,64,71.0,24.66,37.4,23.04
291,Ibra,0,OM,1578361065,76,22.69,58.55,66.2,4.61
292,Urucara,93,BR,1578361066,88,-2.54,-57.76,77.2,5.5
293,Gangakher,0,IN,1578361067,65,18.95,76.75,70.63,9.57
