,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
294,Bonthe,72,SL,1578361068,77,7.53,-12.5,75.72,5.55
295,Atherton,75,AU,1578361069,83,-17.27,145.48,89.01,11.41
296,Tual,46,ID,1578361070,77,-5.67,132.75,82.99,11.21
297,Ypsonas,75,CY,1578361071,87,34.69,32.96,60.8,24.16
298,Terra Santa,100,BR,1578361072,83,-2.1,-56.49,78.69,3.06
299,Balakliya,75,UA,1578361074,63,49.46,36.86,28.4,8.95
300,Kpandae,31,GH,1578361075,31,8.46,-0.01,76.96,1.68
301,Axim,3,GH,1578361076,75,4.87,-2.24,73.67,2.46
302,Kamenka,0,MD,1578360858,86,48.03,28.7,21.99,2.53
303,Puerto Baquerizo Moreno,75,EC,1578361078,83,-0.9,-89.6,78.8,12.75
304,Hazorasp,75,UZ,1578361079,92,41.32,61.08,21.2,3.47
305,Kahului,20,US,1578361080,48,20.89,-156.47,82.4,18.34
306,Tateyama,90,JP,1578361082,56,36.66,137.31,45.0,2.24
307,Henties Bay,32,NA,1578361083,88,-22.12,14.28,63.0,3.0
308,Cagliliog,59,PH,1578361084,82,13.9,123.29,79.86,20.83
309,Mahibadhoo,61,MV,1578360845,76,3.78,72.97,82.15,15.84
310,Simbahan,99,PH,1578361086,82,6.3,120.58,80.46,12.03
311,Raposa,0,PT,1578361087,93,39.11,-8.58,48.0,2.24
312,Coihaique,75,CL,1578361088,76,-45.58,-72.07,53.6,5.82
313,Baiersbronn,67,DE,1578361089,100,48.51,8.37,39.99,4.7
314,Ayan,0,IR,1578361091,58,38.23,44.7,15.28,6.42
315,Cayhagan,100,PH,1578361092,67,9.67,122.43,83.46,11.14
316,Maceio,20,BR,1578361093,83,-9.67,-35.74,77.0,4.7
317,La Libertad,75,PE,1578361094,87,-16.38,-71.56,53.6,8.05
318,Galesong,20,ID,1578361095,88,-5.32,119.37,82.4,5.82
319,Kabinda,100,CD,1578361096,97,-6.14,24.49,66.65,5.3
320,San Joaquin,100,PH,1578361097,60,10.59,122.14,85.78,12.08
321,Muscat,40,OM,1578361097,69,23.6,58.55,73.4,6.93
322,Cobija,30,BR,1578361100,72,-11.02,-68.77,75.94,2.93
323,Salamiyah,0,SY,1578361101,54,35.01,37.05,46.36,16.44
324,Bathsheba,20,BB,1578361102,69,13.22,-59.52,78.8,14.99
325,Ugoofaaru,64,MV,1578361103,74,5.67,73.0,83.14,18.95
326,Banyo,0,CM,1578361104,43,6.75,11.81,61.27,2.66
327,Balkanabat,10,TM,1578361105,75,39.51,54.36,36.68,7.38
328,San Patricio,1,PY,1578361106,92,-26.98,-56.83,71.22,4.23
329,Alto Araguaia,100,BR,1578361107,92,-17.32,-53.22,70.41,5.57
330,Mwanza,20,TZ,1578361109,93,-2.52,32.9,66.2,3.38
331,Margherita,40,IN,1578361110,100,27.29,95.67,48.2,2.64
332,Iqaluit,75,CA,1578361111,68,63.75,-68.52,-18.4,9.17
333,Ojinaga,1,US,1578361112,21,29.56,-104.41,60.8,8.05
334,Kaoma,100,ZM,1578361113,91,-14.8,24.8,62.67,2.39
335,Santa Isabel do Rio Negro,62,BR,1578361114,68,-0.41,-65.02,81.45,2.62
336,Aragats,75,AM,1578361115,66,40.22,44.23,32.0,1.52
337,Merauke,100,ID,1578361116,75,-8.49,140.4,86.38,6.98
338,Lata,100,IN,1578361118,95,30.78,78.62,18.12,3.2
339,Harindanga,0,IN,1578361119,93,22.04,88.32,51.8,7.16
340,Ilulissat,100,GL,1578361120,53,69.22,-51.1,-5.8,11.41
341,Lannion,99,FR,1578361121,100,48.73,-3.46,44.6,6.93
342,Capilla de Guadalupe,100,MX,1578361122,25,20.83,-102.59,57.7,2.46
343,Naze,7,NG,1578361123,77,5.43,7.07,72.14,1.01
344,Foshan,75,CN,1578361124,77,23.02,113.11,73.99,4.47
345,Impfondo,36,CD,1578361126,50,1.62,18.06,72.25,2.13
346,Smirnykh,0,RU,1578361127,86,49.74,142.83,18.37,1.48
347,Sao Filipe,100,CV,1578361128,68,14.9,-24.5,68.52,22.68
348,Gilgit,100,PK,1578361129,94,35.92,74.31,11.93,3.38
349,Kieta,68,PG,1578361130,66,-6.22,155.63,86.63,6.78
350,Sagua la Grande,75,CU,1578361131,72,22.81,-80.07,68.0,2.24
351,Colesberg,100,ZA,1578361132,69,-30.72,25.1,69.35,11.18
352,Kavaratti,100,IN,1578360850,74,10.57,72.64,80.78,8.7
353,Narsaq,0,GL,1578360851,36,60.91,-46.05,-2.2,5.82
354,Ponta do Sol,0,BR,1578360860,91,-20.63,-46.0,67.26,1.79
355,Saint Simons,1,US,1578361079,82,31.14,-81.39,57.2,8.05
356,Douglas,90,US,1578361138,92,58.28,-134.39,30.99,13.87
357,Codrington,33,AU,1578361139,45,-28.95,153.24,89.01,11.41
358,Mangai,93,CD,1578361140,80,-4.07,19.59,71.64,0.49
359,Vajszlo,0,HU,1578361141,85,45.86,17.98,23.0,4.63
360,Lagoa,0,PT,1578361129,93,37.14,-8.45,52.0,4.7
361,Mutoko,77,ZW,1578361144,97,-17.4,32.23,64.76,2.01
362,Beringovskiy,16,RU,1578360846,90,63.05,179.32,-12.01,10.69
363,Obo,82,CF,1578361146,30,5.39,26.49,67.57,5.5
364,Erzin,75,TR,1578361147,87,36.95,36.2,50.0,12.75
365,Rome,0,IT,1578360996,59,41.89,12.48,41.0,3.36
366,Carutapera,100,BR,1578361149,80,-1.2,-46.02,81.21,12.41
367,Cockburn Town,99,TC,1578360871,85,21.46,-71.14,75.9,20.65
368,Bilma,16,NE,1578361151,34,18.69,12.92,50.49,13.2
369,Quang Ngai,13,VN,1578361153,81,15.12,108.8,75.4,6.82
370,Adana,75,TR,1578361154,81,37.0,35.33,50.0,16.11
371,Kuytun,29,RU,1578361155,87,54.34,101.51,6.13,5.48
372,Soyo,100,AO,1578361156,82,-6.13,12.37,79.68,2.95
373,Nhulunbuy,75,AU,1578361157,79,-12.18,136.78,86.0,14.99
374,Zorritos,75,PE,1578361158,33,-3.68,-80.68,89.6,3.36
375,Casablanca,20,MA,1578361160,100,33.6,-7.62,59.0,4.7
376,Churapcha,100,RU,1578361161,95,62.0,132.43,3.72,6.44
377,Ballitoville,40,ZA,1578361162,88,-29.54,31.21,75.2,8.05
378,Paamiut,35,GL,1578361163,74,61.99,-49.67,1.15,12.97
379,Tazovskiy,46,RU,1578361164,93,67.47,78.7,-0.38,12.21
380,Muros,20,ES,1578361165,93,42.77,-9.06,46.99,5.82
381,Vanderhoof,99,CA,1578361166,97,54.02,-124.02,13.28,0.29
382,Labuhan,96,ID,1578361168,58,-2.54,115.51,89.44,2.3
383,Beihai,75,CN,1578361169,79,38.95,121.19,32.0,13.42
384,Iquitos,0,PE,1578361170,78,-3.75,-73.25,78.8,1.12
385,Mangalia,91,RO,1578361171,92,43.8,28.58,28.0,10.29
386,Yarada,20,IN,1578361172,83,17.65,83.27,69.8,4.7
387,Sambava,52,MG,1578361173,94,-14.27,50.17,73.38,2.04
388,Buala,67,SB,1578361174,71,-8.15,159.59,84.97,10.16
389,Upington,91,ZA,1578361175,34,-28.46,21.24,78.8,6.93
390,Graciano Sanchez,20,MX,1578361177,42,23.92,-99.28,68.0,5.82
391,Davila,20,PH,1578361178,73,18.47,120.58,77.0,5.82
392,Saldanha,100,PT,1578361179,80,41.42,-6.55,36.03,3.11
393,Ballina,100,IE,1578361180,88,54.11,-9.15,51.01,18.01
394,Qasigiannguit,100,GL,1578361181,53,68.82,-51.19,-5.8,11.41
395,Gazanjyk,38,TM,1578361182,82,39.24,55.52,33.67,2.46
396,Bull Savanna,18,JM,1578361183,95,17.89,-77.59,68.09,3.94
397,Komsomolskiy,100,RU,1578361184,92,67.55,63.78,8.74,18.43
398,Torrijos,0,ES,1578361185,81,39.98,-4.28,44.01,1.57
399,Lashio,2,MM,1578361187,73,22.93,97.75,62.67,1.95
400,Fairbanks,20,US,1578361024,65,64.84,-147.72,-20.99,0.72
401,Enterprise,1,US,1578361189,34,36.05,-115.22,55.99,2.55
402,Sokoto,21,NG,1578361190,27,13.06,5.24,67.26,11.5
403,Rio Grande,40,BR,1578361191,90,-32.03,-52.1,73.0,4.72
404,Yumen,0,CN,1578361192,55,40.29,97.04,20.88,14.72
405,Chipata,63,ZM,1578361193,87,-13.64,32.65,67.62,2.13
406,Sarh,0,TD,1578361195,64,9.14,18.39,68.0,4.81
407,Borovoy,100,RU,1578361196,92,63.23,52.89,8.06,9.01
408,Sunrise Manor,1,US,1578361197,30,36.21,-115.07,55.99,3.36
409,Sudak,100,UA,1578361198,97,44.85,34.97,34.63,8.41
410,Wang Noi,0,TH,1578361199,78,14.23,100.72,84.0,5.82
411,Kasongo,100,CD,1578361200,98,-4.43,26.67,69.76,0.89
412,Puteyets,99,RU,1578361201,92,65.17,57.09,5.41,8.05
413,Caimito,0,CO,1578361202,82,8.79,-75.12,76.19,5.5
414,Hermosillo,0,MX,1578360964,43,29.09,-110.96,70.0,1.99
415,Bud,99,NO,1578361205,70,62.91,6.91,44.6,12.75
416,Skagen,100,SE,1578361206,87,58.6,13.44,42.8,10.29
417,Wenchi,74,GH,1578361207,40,7.74,-2.1,69.35,1.9
418,Awbari,0,LY,1578361208,57,26.59,12.77,42.08,6.42
419,Arles,39,FR,1578361209,93,43.68,4.63,44.6,2.24
420,Marshfield,1,US,1578361211,67,42.09,-70.71,36.0,8.05
421,Marinette,1,US,1578361212,63,45.1,-87.63,32.0,6.93
422,Ayorou,0,NE,1578361213,23,14.73,0.92,62.83,9.04
423,Taoudenni,0,ML,1578361214,22,22.68,-3.98,49.06,5.64
424,Murgab,90,TM,1578361215,92,37.5,61.97,30.2,4.7
425,Tabou,0,CI,1578361216,78,4.42,-7.36,69.6,3.06
426,Popondetta,49,PG,1578361217,78,-8.77,148.24,78.03,2.82
427,Ampanihy,0,MG,1578361218,75,-24.69,44.75,75.7,5.93
428,Amga,100,RU,1578361219,95,60.89,131.98,8.98,3.62
429,Lima,20,PE,1578361083,83,-12.06,-77.04,71.6,13.87
430,Eureka,1,US,1578361222,66,40.8,-124.16,51.8,3.13
431,Dryden,90,CA,1578361223,79,49.79,-92.84,21.2,14.99
432,Karpogory,95,RU,1578361224,95,64.0,44.44,21.04,7.58
433,Mastung,44,PK,1578361225,96,29.8,66.85,34.14,3.36
434,Havre,90,US,1578361226,95,48.55,-109.68,34.0,3.36
435,Tezu,100,IN,1578361227,52,27.93,96.16,57.69,1.52
436,Tomatlan,45,MX,1578361228,63,19.93,-105.25,64.22,3.22
437,Madikeri,20,IN,1578361230,94,12.42,75.74,73.4,4.7
438,Borda da Mata,0,BR,1578361231,96,-22.27,-46.17,69.01,1.05
439,Kalmunai,81,LK,1578361232,78,7.42,81.82,82.29,17.0
440,Adre,46,TD,1578361233,26,13.47,22.2,62.11,8.39
441,Mindelo,57,PT,1578361234,93,41.31,-8.72,41.0,10.29
442,Tagusao,48,PH,1578361236,69,9.19,117.81,83.66,8.66
443,Moerai,1,PF,1578361237,71,-22.43,-151.33,80.02,8.72
444,Bosaso,12,SO,1578361238,74,11.28,49.18,78.17,7.78
445,Port Keats,64,AU,1578361239,61,-14.25,129.55,89.2,8.63
446,Shimoda,75,JP,1578361240,66,34.7,138.93,50.0,16.11
447,Vila Franca do Campo,75,PT,1578361241,93,37.72,-25.43,64.4,9.17
448,Hanzhong,16,CN,1578361242,66,33.08,107.03,42.73,1.5
449,Sao Jose da Coroa Grande,10,BR,1578361243,77,-8.9,-35.15,79.74,14.36
450,Zyryanka,0,RU,1578361244,86,65.73,150.89,-15.86,5.93
451,Chake Chake,12,TZ,1578361246,79,-5.25,39.77,83.23,10.4
452,Sosva,0,RU,1578361247,90,59.17,61.86,5.5,3.11
453,Phan Thiet,59,VN,1578361126,46,10.93,108.1,86.79,6.8
454,Ife,0,NG,1578361249,45,7.48,4.55,69.22,1.83
455,Laukaa,90,FI,1578361250,97,62.42,25.95,32.0,10.29
456,San Ramon,98,NI,1578361251,93,12.92,-85.84,65.52,5.95
457,Chicama,3,PE,1578361252,88,-7.84,-79.15,69.8,9.17
458,Laurinburg,1,US,1578361253,87,34.77,-79.46,46.4,3.62
459,Luang Prabang,40,LA,1578361255,88,19.89,102.14,64.4,1.5
460,Ubrique,0,ES,1578361256,93,36.68,-5.45,57.2,2.24
461,Matara,100,BI,1578361257,86,-3.48,29.48,55.87,3.18
462,Mount Gambier,0,AU,1578361258,44,-37.83,140.78,75.2,10.29
463,Bima,100,ID,1578361259,66,-8.45,118.73,84.94,5.19
464,Troitskoye,0,RU,1578361260,91,52.98,84.68,5.07,1.99
465,Upernavik,100,GL,1578361122,99,72.79,-56.15,-5.57,6.31
466,Isabela,99,PH,1578361263,73,10.2,122.99,78.42,10.16
467,Lompoc,1,US,1578361264,48,34.64,-120.46,64.4,4.7
468,Touros,40,BR,1578361151,78,-5.2,-35.46,80.6,6.93
469,Vanavara,100,RU,1578361266,97,60.35,102.28,6.71,6.4
470,Butterworth,20,MY,1578361267,69,5.4,100.37,82.4,2.24
471,Pisco,39,PE,1578361242,88,-13.71,-76.2,69.8,16.11
472,Vyazma,90,RU,1578361270,94,55.21,34.3,23.81,6.71
473,Huimilpan,75,MX,1578361271,20,20.37,-100.28,62.6,6.93
474,Hammond,1,US,1578361272,76,30.5,-90.46,62.6,5.32
475,Christchurch,50,NZ,1578361273,51,-43.53,172.64,64.99,19.46
476,Lavrentiya,88,RU,1578361274,97,65.58,-170.99,-8.07,3.29
477,Rafaela,0,AR,1578361275,41,-31.25,-61.49,69.01,1.01
478,Hangal,25,IN,1578361276,77,14.77,75.13,71.85,13.06
479,Kampot,20,KH,1578361278,83,10.62,104.18,78.8,2.24
480,Tanout,99,NE,1578361279,21,14.97,8.88,59.25,14.05
481,Krosno,75,PL,1578361280,68,49.69,21.77,30.2,8.05
482,Palmer,0,AU,1578361281,35,-34.85,139.16,86.0,8.12
483,Tibiri,71,NE,1578361282,23,13.57,7.05,62.62,10.87
484,Madera,1,US,1578361283,71,36.96,-120.06,51.8,4.12
485,Aquiraz,40,BR,1578361284,78,-3.9,-38.39,86.0,5.82
486,Wufeng,66,CN,1578361285,61,27.44,104.87,45.12,2.89
487,Taketa,75,JP,1578361286,67,32.97,131.38,60.8,1.12
488,Mirabad,0,IR,1578361288,70,28.27,61.33,41.52,3.11
489,La Ronge,40,CA,1578361193,69,55.1,-105.3,-7.6,13.87
490,Luderitz,100,NA,1578361147,77,-26.65,15.16,60.8,8.05
491,Dire,40,ET,1578361291,87,9.18,38.92,51.8,3.36
492,Mandalgovi,0,MN,1578361292,72,45.76,106.27,7.65,3.27
493,Abalak,39,NE,1578361293,21,15.46,6.28,60.17,11.54
494,Bani,3,YE,1578361294,75,16.02,42.93,76.82,4.07
495,Avera,1,US,1578361295,87,33.19,-82.53,54.0,6.22
496,Salinopolis,100,BR,1578361297,77,-0.61,-47.36,82.27,12.15
497,Tomohon,40,ID,1578361298,94,1.33,124.84,75.2,2.24
498,Blue Ash,1,US,1578361192,55,39.23,-84.38,37.4,1.95
499,Dedza,100,MW,1578361300,90,-14.38,34.33,64.78,2.24
500,Nianzishan,80,CN,1578361301,89,47.51,122.88,13.14,11.65
501,Altamira,100,BR,1578361302,96,-3.2,-52.21,73.11,2.71
502,Mollendo,39,PE,1578361303,89,-17.03,-72.02,67.66,6.2
503,Jiazi,75,CN,1578361305,94,19.61,110.49,71.6,2.24
504,Aitape,99,PG,1578361306,75,-3.15,142.36,83.64,8.66
505,Milkovo,0,BG,1578361307,68,41.53,24.68,37.4,8.05
506,Atar,0,MR,1578361308,15,20.52,-13.05,49.05,7.58
507,Kita,75,JP,1578361309,48,35.76,139.74,48.99,5.82
508,Buenos Aires,0,AR,1578361202,40,-34.61,-58.44,73.4,8.05
509,Vanimo,65,PG,1578361311,77,-2.67,141.3,83.75,12.48
510,Bayan,0,CN,1578361313,58,36.1,102.26,20.64,5.73
511,Kenilworth,8,AU,1578361314,65,-26.6,152.73,90.0,3.0
512,Vysokogornyy,0,RU,1578361315,82,50.1,139.13,10.99,2.95
513,Ratnagiri,0,IN,1578361316,66,16.98,73.3,75.51,3.51
514,San Quintin,0,PH,1578361317,52,17.54,120.52,85.32,1.05
515,Adrar,19,DZ,1578361186,36,27.87,-0.29,44.6,14.99
516,Thanh Hoa,20,VN,1578361319,83,10.21,106.33,80.6,6.93
517,Diamantino,94,BR,1578361321,88,-14.4,-56.44,74.05,6.04
518,Port Augusta,0,AU,1578361123,47,-32.49,137.76,84.0,10.29
519,Raymond,75,CA,1578361323,95,49.47,-112.67,33.01,10.29
520,Baillif,40,GP,1578361324,78,16.02,-61.75,75.2,5.82
521,Itarema,35,BR,1578361325,91,-2.92,-39.92,76.39,3.09
522,Talnakh,98,RU,1578361326,92,69.49,88.39,10.4,15.66
523,Reconquista,0,AR,1578361327,75,-29.14,-59.64,67.08,4.16
524,Leh,100,IN,1578361329,85,34.16,77.58,6.76,4.7
525,Cap Malheureux,40,MU,1578361330,94,-19.98,57.61,77.0,3.78
526,Sarkand,100,KZ,1578361331,54,45.41,79.91,16.34,1.52
527,Elat,29,CM,1578361333,98,2.91,11.16,68.18,2.04
528,Moron,0,HT,1578361334,69,18.56,-74.26,75.99,7.52
529,Gizo,0,IL,1578361335,54,31.8,34.94,54.0,10.29
530,Mount Isa,100,AU,1578361336,32,-20.73,139.49,95.0,8.05
531,Kautokeino,100,NO,1578361337,96,69.01,23.04,28.72,13.62
532,Rio Branco,40,BR,1578361338,94,-9.98,-67.82,77.0,3.44
533,Rancho Palos Verdes,5,US,1578361339,48,33.75,-118.37,73.4,6.93
534,Saryagash,90,KZ,1578361340,70,41.45,69.17,32.0,2.24
535,The Pas,90,CA,1578361342,71,53.82,-101.24,3.2,21.92
536,Bavly,100,RU,1578361343,95,54.4,53.24,21.24,3.31
537,Griffith,0,AU,1578361344,45,-34.29,146.06,86.0,6.93
538,Nishihara,75,JP,1578361345,52,35.74,139.53,48.99,6.93
539,Fria,38,GN,1578361346,70,10.36,-13.58,63.81,1.97
540,Kennett,90,US,1578361347,75,36.24,-90.06,48.2,6.93
541,Gamba,56,CN,1578361348,32,28.28,88.52,15.1,0.65
542,Buraydah,40,SA,1578361350,57,26.33,43.97,50.0,4.7
543,Kargasok,99,RU,1578361351,94,59.06,80.87,12.13,9.01
544,Poltavka,100,RU,1578361352,95,54.36,71.76,9.48,6.26
545,Miyako,75,JP,1578361353,87,33.63,130.94,64.0,6.93
546,Aguimes,75,ES,1578361201,68,27.91,-15.45,64.4,17.22
547,Primorsk,100,RU,1578361355,92,60.37,28.62,33.01,14.0
548,Salvador,20,BR,1578361107,83,-12.98,-38.48,80.6,11.41
549,Abay,100,KZ,1578361357,83,49.63,72.87,-5.8,4.47
550,Vardo,1,US,1578361273,55,39.62,-77.74,41.0,6.44
551,Amboasary,56,MG,1578361360,86,-25.04,46.38,72.16,4.27
552,Ketchikan,40,US,1578361361,100,55.34,-131.65,33.8,5.82
553,Puerto Escondido,5,MX,1578361362,74,15.86,-97.07,78.8,3.27
554,Irbit,15,RU,1578361363,89,57.67,63.06,5.27,2.71
555,Flinders,40,AU,1578361364,54,-34.58,150.85,86.0,5.82
556,Ahome,20,MX,1578361365,68,25.92,-109.18,66.2,12.75
557,Khani,100,GE,1578361367,39,41.96,42.96,50.0,26.4
558,Saint-Georges,100,CA,1578361181,90,46.12,-70.67,19.0,6.87
559,Kaitangata,0,NZ,1578361369,53,-46.28,169.85,59.0,11.01
560,Kurilsk,67,RU,1578361370,82,45.23,147.88,28.53,15.03
561,Kars,75,TR,1578361371,92,40.61,43.1,24.8,3.36
562,Miandrivazo,11,MG,1578361372,79,-19.53,45.46,78.62,3.2
563,Segou,62,SN,1578361373,17,12.41,-12.29,63.16,2.71
564,Cheremshan,100,RU,1578361375,95,54.66,51.51,21.87,3.67
565,Kerman,0,IR,1578361376,79,30.29,57.06,26.6,1.43
566,Marawi,99,PH,1578361313,82,8.0,124.29,81.0,1.01
567,Maryborough,28,AU,1578361378,36,-25.54,152.7,89.78,8.05
568,Caxito,0,BR,1578361379,91,-22.65,-42.51,70.23,4.32
569,Kiruna,100,SE,1578361380,89,67.86,20.23,32.0,10.29
570,Valle de Juarez,100,MX,1578361382,47,19.93,-102.94,54.19,0.43
571,Chistogorskiy,0,RU,1578361383,94,53.98,87.38,9.0,2.53
572,Arona,33,IT,1578361384,100,45.76,8.56,35.01,4.7
573,Szentkiraly,70,HU,1578361385,92,46.92,19.92,28.0,3.78
574,Falkenberg,90,DE,1578361386,100,49.86,12.22,30.99,6.06
575,Anahuac,92,MX,1578361387,84,26.44,-109.02,64.0,5.01
576,Adra,0,ES,1578361388,87,36.75,-3.02,46.4,9.17
577,Saquena,0,PE,1578361389,78,-4.67,-73.52,75.65,2.59
578,Frederico Westphalen,89,BR,1578361391,79,-27.36,-53.4,69.44,2.89
579,Aykhal,75,RU,1578361392,92,65.95,111.51,10.4,4.47
580,Bronnoysund,100,NO,1578361393,70,65.46,12.2,46.4,8.05
581,Mezen,88,RU,1578361394,95,65.85,44.24,19.22,7.9
582,Venado Tuerto,0,AR,1578361207,80,-33.75,-61.97,59.0,7.94
583,Arlit,10,NE,1578361396,26,18.74,7.39,57.22,12.21
584,Strelka,94,RU,1578361397,96,58.08,93.03,11.1,3.15
585,Aklavik,40,CA,1578361398,65,68.22,-135.01,-34.6,2.24
586,Kintampo,16,GH,1578361400,27,8.05,-1.73,75.25,2.73
587,Kaabong,5,UG,1578361401,61,3.51,34.14,67.62,7.05
588,Zaysan,0,KZ,1578361402,76,47.47,84.87,-0.58,1.16
589,Arica,0,CL,1578361403,83,-18.48,-70.32,71.6,1.12
590,Mabaruma,34,GY,1578361227,96,8.2,-59.78,68.99,2.39
591,Vilhena,100,BR,1578361405,94,-12.74,-60.15,71.85,4.29
592,Almaznyy,90,RU,1578361406,93,48.03,40.04,35.6,17.9
